,tag,text
147,eat,"– Алло! Это молодёжное радио?– Да!– И меня сейчас таки, везде слышно?– Да! У нас много слушателей.– А меня слышно и на рынке, и в магазине, везде-везде?– Конечно. А что вы хотите?– Тихо – ша! Монечка, слушай сюда! Молоко не покупай, бабушка уже взяла."
148,eat,"– Алло, это пожарная?!– Да.– Пожарьте нам, пожалуйста, картошечки!– Мы не жарим, мы тушим!– Хр*н с ним, потушите!"
149,eat,"– Папа, а почему мы едим картошку в мундире, а наши соседи постоянно жарят шашлыки?– А это, сынок, потому что они лентяи. Они не хотят её сажать, окучивать и собирать колорадского жука."
150,eat,"Проверяющий на рынке:– У вас есть документы на эту рыбу?– А что вам надо, свидетельство о смерти?"
151,eat,"– Что может быть отвратительнее, чем откусить яблоко и обнаружить там червяка?– Откусить яблоко и обнаружить там пол червяка."
152,eat,– Вчера ел суп из черепахи.– И как?– Ну как… из тарелки – удобнее!
153,eat,Поздний вечер. Девушка в гостях у своего парня.– Я хочу кушать… А у тебя пустой холодильник…– Ну потерпи до утра.– А утром что-то будет?– А утром ты уйдёшь на работу.
154,eat,"– Рабинович, вы зря эту колбасу покупаете. Она, конечно, дешевая, но есть ее решительно невозможно, там одна соя.– Это для гостей."
155,eat,"Стоит бабулька на базаре, торгует помидорами. Большая табличка: ""Помидоры из Чернобыля"". Подходит покупатель:– Да ты что?! Не возьмет же никто!– Берут, милок, берут. Кто для тещи, кто для зятя…"
156,eat,"2 брата 8-ми и 5-ти лет,перед сном старший говорит:– Слушай, мы с тобой уже большие мужики, пора начать ругаться матом! Завтра за завтраком я скажу ""бл*"", а ты ""на х*й"", а дальше как пойдет!Утром за столом мама спрашивает у старшего:– Что ты хочешь на завтрак?– Да мне бы, бл*, оладушков!Со всего размаху получает оплеуху, заревел и убежал.– Ну, а тебе чего? – с угрозой спрашивает мама у младшего.Тот, робко:– Да я уж теперь и не знаю, на х*й мне такие оладушки!"
157,eat,"– Ты зачем взял новый пакетик с чаем?– У старого уже ниточка стёрлась…– А новую пришить, что рук нет?"
158,eat,"Просыпается утром папа-медведь, подходит к своей чашке и грозно рычит:– Кто ел из моей миски?!Бежит к своей миске медвежонок и грозно пищит:– А кто ел из моей миски!?Мама-медведица, стоя у плиты:– Ох, как вы меня достали! Да не готовила я еще!"
159,eat,"Магазин. Касса. Продавец спрашивает:– Вам пакет с ручками?– Нет! Дайте с ножками, чтобы рядом бежал!"
160,eat,"Директор известного ресторана, отправляясь в отпуск, заходит в привокзальный буфет и заказывает себе дежурное блюдо. Официант тут же приносит ему заказ – бифштекс с жареной картошкой. Директор смотрит на блюдо и восхищается:– М-м-м… Позвольте вас поздравить: вы отлично оформляете блюда. Я сам занят в ресторанном бизнесе и понимаю в этом толк. Скажу вам более: если бы все привокзальные буфеты так оформляли блюда, в трехзвездочные рестораны, такие как мой, люди просто перестали бы ходить. Позвольте полюбопытствовать, как вам удается делать на сливочном масле такой красивый рисунок?– Расческой, а что?"
161,eat,"В автобусе. Разговаривают две женщины про диеты.Одна другой:– А наша семья уже неделю сидит на молочном супе.– А что так?– Да мы с мужем поругались неделю назад, а он молочный суп терпеть не может!"
162,eat,"– Ну, и как ваша чесночная диета?– Сбросил 3 кг и всех знакомых."
163,eat,– Официант! А что такое диетическая пицца?– Это обычная пицца. Но я сажусь рядом и ем ее вместе с вами.
164,eat,"- Вообще-то я предпочитаю французскую и марокканскую кухни! - Давай заливай уже свой ""Доширак"", мне чайник нужен."
